Frage;Antwort;Hinweis;
Wie heisst die Hauptstadt der Schweiz;Bern;
Wann ist der Nationalfeiertag der Schweiz?;01.08;
Wie viele Amtssprachen hat die Schweiz?;4;
Wie viele Bundesräte gibt es?;7;
Wann wurde die Schweiz gegründet?;1291;
Welcher Fluss entspringt in der Schweiz und fliesst ins Mittelmeer?;Rohne;
Welche Stadt der Schweiz hat die meisten Einwohner?;Zürich;
Welches ist der grösste See der Schweiz?;Genfersee;
Welcher Fluss entspringt in der Schweiz und fliesst in die Nordsee?;Rhein;
Wo entspringt die Inn?;Engadin;
Wann wurde die heutige Schweiz als Bundesstaat mit einer Bundesverfassung gegründet?;1848;
Wann wurde die AHV eingeführt?;1947;
Wann ist die Schweiz zur UNO beigetreten?;2002;
Wie viele Kantone (Vollkantone) hat die Schweiz?;20;
Wie viele Kantone (Halbkantone) hat die Schweiz?;6;
Welcher Kanton ist dreisprachig?;Graubünden;
Wie bezeichnet man die Staatsform der Schweiz?;Direkte Demokratie;
Wie viele Nationalräte gibt es?;200;
Wie viele Ständeräte gibt es?;46;
Wovür steht die Abkürzung des Departements VBS?; Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport;
Was bedeutet die Abkürzung CH?;Confoederatio Helvetica;
